class_name,method_name,file_path,start_line,cyclomatic_complexity
ApiSecurityExceptionHandler,write,backend/src/main/java/com/campusrepair/security/ApiSecurityExceptionHandler.java,32,1
CurrentUser,requireId,backend/src/main/java/com/campusrepair/security/CurrentUser.java,12,6
JwtAuthenticationFilter,doFilterInternal,backend/src/main/java/com/campusrepair/security/JwtAuthenticationFilter.java,28,5
JwtTokenProvider,generateToken,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,26,2
JwtTokenProvider,generateToken,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,37,1
JwtTokenProvider,validateAndGetSubject,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,41,1
JwtTokenProvider,parseUserId,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,45,1
JwtTokenProvider,parseRoles,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,49,3
JwtTokenProvider,validateToken,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,55,2
JwtTokenProvider,parseClaims,backend/src/main/java/com/campusrepair/security/JwtTokenProvider.java,64,1
SecurityConfig,passwordEncoder,backend/src/main/java/com/campusrepair/security/SecurityConfig.java,19,1
SecurityConfig,securityFilterChain,backend/src/main/java/com/campusrepair/security/SecurityConfig.java,24,1
AcceptanceService,acceptRepairResult,backend/src/main/java/com/campusrepair/service/AcceptanceService.java,8,1
AcceptanceService,requestRework,backend/src/main/java/com/campusrepair/service/AcceptanceService.java,9,1
AcceptanceService,getAcceptanceHistory,backend/src/main/java/com/campusrepair/service/AcceptanceService.java,10,1
DispatchService,auditOrder,backend/src/main/java/com/campusrepair/service/DispatchService.java,8,1
DispatchService,dispatchOrder,backend/src/main/java/com/campusrepair/service/DispatchService.java,9,1
DispatchService,listPendingOrders,backend/src/main/java/com/campusrepair/service/DispatchService.java,10,1
EvaluationService,evaluateService,backend/src/main/java/com/campusrepair/service/EvaluationService.java,6,1
EvaluationService,getEvaluation,backend/src/main/java/com/campusrepair/service/EvaluationService.java,7,1
FileStorageService,save,backend/src/main/java/com/campusrepair/service/FileStorageService.java,4,1
FileStorageService,load,backend/src/main/java/com/campusrepair/service/FileStorageService.java,5,1
FileStorageService,delete,backend/src/main/java/com/campusrepair/service/FileStorageService.java,6,1
MaintenanceService,listTasks,backend/src/main/java/com/campusrepair/service/MaintenanceService.java,10,1
MaintenanceService,acceptTask,backend/src/main/java/com/campusrepair/service/MaintenanceService.java,11,1
MaintenanceService,processRepairOrder,backend/src/main/java/com/campusrepair/service/MaintenanceService.java,12,1
MaintenanceService,continueRepair,backend/src/main/java/com/campusrepair/service/MaintenanceService.java,13,1
MaintenanceService,getRepairHistory,backend/src/main/java/com/campusrepair/service/MaintenanceService.java,14,1
OrderStateService,submit,backend/src/main/java/com/campusrepair/service/OrderStateService.java,4,1
OrderStateService,approve,backend/src/main/java/com/campusrepair/service/OrderStateService.java,5,1
OrderStateService,dispatch,backend/src/main/java/com/campusrepair/service/OrderStateService.java,6,1
OrderStateService,startRepair,backend/src/main/java/com/campusrepair/service/OrderStateService.java,7,1
OrderStateService,finishRepair,backend/src/main/java/com/campusrepair/service/OrderStateService.java,8,1
OrderStateService,accept,backend/src/main/java/com/campusrepair/service/OrderStateService.java,9,1
OrderStateService,reject,backend/src/main/java/com/campusrepair/service/OrderStateService.java,10,1
OrderStateService,reopen,backend/src/main/java/com/campusrepair/service/OrderStateService.java,11,1
QueryService,queryOrderProgress,backend/src/main/java/com/campusrepair/service/QueryService.java,8,1
QueryService,queryOrders,backend/src/main/java/com/campusrepair/service/QueryService.java,9,1
RepairCatalogService,listEnabledTypes,backend/src/main/java/com/campusrepair/service/RepairCatalogService.java,9,1
RepairCatalogService,listEnabledLocations,backend/src/main/java/com/campusrepair/service/RepairCatalogService.java,10,1
RepairOrderService,createOrder,backend/src/main/java/com/campusrepair/service/RepairOrderService.java,9,1
RepairOrderService,updateOrder,backend/src/main/java/com/campusrepair/service/RepairOrderService.java,11,1
RepairOrderService,getMyOrders,backend/src/main/java/com/campusrepair/service/RepairOrderService.java,12,1
RepairOrderService,getProgress,backend/src/main/java/com/campusrepair/service/RepairOrderService.java,13,1
StatisticsService,countByStatus,backend/src/main/java/com/campusrepair/service/StatisticsService.java,10,1
StatisticsService,countByType,backend/src/main/java/com/campusrepair/service/StatisticsService.java,11,1
StatisticsService,countByPeriod,backend/src/main/java/com/campusrepair/service/StatisticsService.java,12,1
StatisticsService,averageRepairDuration,backend/src/main/java/com/campusrepair/service/StatisticsService.java,13,1
UserPermissionService,login,backend/src/main/java/com/campusrepair/service/UserPermissionService.java,9,1
UserPermissionService,listUsers,backend/src/main/java/com/campusrepair/service/UserPermissionService.java,10,1
UserPermissionService,updateUserStatus,backend/src/main/java/com/campusrepair/service/UserPermissionService.java,11,1
UserPermissionService,assignRole,backend/src/main/java/com/campusrepair/service/UserPermissionService.java,12,1
UserPermissionService,getUserRoles,backend/src/main/java/com/campusrepair/service/UserPermissionService.java,13,1
AcceptanceServiceImpl,acceptRepairResult,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,33,2
AcceptanceServiceImpl,requestRework,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,56,1
AcceptanceServiceImpl,getAcceptanceHistory,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,61,3
AcceptanceServiceImpl,resolveOrderOwnership,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,69,2
AcceptanceServiceImpl,loadOrder,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,77,3
AcceptanceServiceImpl,requirePendingAcceptance,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,84,2
AcceptanceServiceImpl,ensureReturnReason,backend/src/main/java/com/campusrepair/service/impl/AcceptanceServiceImpl.java,90,3
DispatchServiceImpl,auditOrder,backend/src/main/java/com/campusrepair/service/impl/DispatchServiceImpl.java,49,3
DispatchServiceImpl,dispatchOrder,backend/src/main/java/com/campusrepair/service/impl/DispatchServiceImpl.java,65,2
DispatchServiceImpl,listPendingOrders,backend/src/main/java/com/campusrepair/service/impl/DispatchServiceImpl.java,87,5
DispatchServiceImpl,requireOrder,backend/src/main/java/com/campusrepair/service/impl/DispatchServiceImpl.java,99,3
